Tournament,Date,Player,Yoshi color,Win,Score,Character1,Character2,Opponent,VOD url,Timecode,Definition,Analysis
Cavalier Clash 6,01/03/2025,Pharaoh,purple,FALSE,0 - 3,Sonic,,Wrath,https://youtu.be/9wFhV-50UH8,,,
Cavalier Clash 6,01/03/2025,Pharaoh,purple,FALSE,1 - 3,Wario,,Glutonny,https://youtu.be/XHoxSsYoPpc,,,
Cavalier Clash 6,01/03/2025,Pharaoh,purple,TRUE,3 - 0,Ness,,PkChris,https://youtu.be/E-R9vPezRsA,,,
Cavalier Clash 6,01/03/2025,Pharaoh,purple,TRUE,3 - 2,Roy,,Kola,https://youtu.be/KGMEuxwP5IQ,,,
Cavalier Clash 6,01/03/2025,Pharaoh,purple,TRUE,3 - 2,Ridley,,smub,https://www.youtube.com/watch?v=-ynlvWSTkNo,,,
マエスマ'HIT / Maesuma'HIT#74,27/02/2025,Mark (マーク),red,TRUE,2 - 1,Meta Knight,,sdsg,https://youtu.be/k8UXGDD_Ieg,,,
第279回スマACT,21/02/2021,Floyd,pink,TRUE,2 - 0,Mewtwo,,SUZUNE,https://youtu.be/a0Cj_IVMbq8,,,
神宮杯#4,15/02/2025,Mark (マーク),red,TRUE,3 - 1,Snake,,DIO,https://youtu.be/1Uv91ng7dqM,,,
真・闘龍門 / Shin Toryumon #82,13/02/2025,Fui (ふい),green,TRUE,2 - 1,Joker,,gorioka (ゴリオカ),https://youtu.be/2Bl2dU41EdU,,,
マエスマ'HIT / Maesuma'HIT#70,10/02/2025,Mark (マーク),red,FALSE,0 - 2,Rosalina,,YamaD (やまD),https://youtu.be/zVq-0-km4Ps,,,
マエスマ'HIT / Maesuma'HIT#70,10/02/2025,Mark (マーク),red,TRUE,2 - 0,Mii Brawler,,kurou (くろー),https://youtu.be/2XBeIIMSHfA,,,
マエスマ'HIT / Maesuma'HIT#70,10/02/2025,Floyd,pink,FALSE,1 - 2,Rosalina,,YamaD (やまD),https://youtu.be/DcgnUrXNKpQ,,,
